# THE TAGLINES
#
# One line per version of HYPERCOLOR ASTEROIDS, saying what happened to the
# game. Appended by tools/tagline.sh when a version lands, read by
# tools/chronicle.sh into the book, and never rewritten: once a line is in
# here it is the record, even after the script that first wrote it changes its
# mind about jokes.
#
# Which is the invitation. If the machine gave your version a limp line, edit
# it here and it stays edited. If you would rather not leave it to chance, put
# a  Tagline: <line>  in the commit message and that is what lands.
#
# <commit>	<what happened to the game>
1e4d4cb2cf109d303f0a07ac0954a0e366c9dc28	The cabinet arrives in one file, and it already knows how to kill you.
996441266d6f94511290c7034719d0035503a8c8	The game asks who is flying now, and it remembers what they did.
d4197de7f9876a30b91ba87729e606369b29c689	The cabinet keeps score with slightly different arithmetic now.
7aa11756cb0244bd010d379f860af2ddc2ca3055	The seat cards have faces on them, and picking somebody else's feels like a decision.
99ea1101536af7c3418b7810a89a874d3907779c	The panels went to glass, and the field drifts past behind everything you read.
052424943bc5a647f453ae0ced2a5f4c6ba9bbc1	The rules of the field changed while nobody was flying.
2b086162b47db9c40a9f4d50a38a0f86c0483850	Your name is on a card before you have flown, under the words no traps laid.
b1dabac1b5930be7373047b0465be57932956652	Ten bands share the cabinet and you do not get to choose which one turns up.
d6cccea753a1b5cd8e1571b2d8602e0f2618b027	The splash screen grew a second column and a floor. PRESS ENTER stopped moving.
12b5821588cb6843c7865004d3ed085c18e71b94	A rule was taken out, looked at, and put back differently.
fd19f663c6536191f5b57620d38dc67b54386646	Every card and row on the splash answers with a note, in whatever key tonight is in.
bb0fc33fd88f2343830884fcb85db20cd95b3c27	David Friedrich taught the ambushes to sign their work.
8d96e74c1adba6a8d4385d5a0a9ddfeba3705ad0	The sign in the corner stopped lying about the room behind it.
6a386812a624e081ec471c2dc091b3f5362f4744	The field guide says the same things in half the words.
f6412bc29743278325e6e1092b350ad0d8d60e60	The splash screen stopped describing the ship and showed it.
9538f273faf658036c61135efdcf1e8ab6576850	ESC is a door now: it stops the field, shows you the run, and costs you the record if you walk.
e055287b42e12666e71b90e6ca3874bb1855be59	The cabinet put its name up. A rock three colours out of true is holding it.
e0a7f624862af95e32413a1538de5a09c543c4d9	The ledger learned mercy - three clean landings ease a bend, and the record still says what happened.
b842dec324a281ba6c9c481eda512d410ad0aa2b	The cabinet keeps score with slightly different arithmetic now.
d31aabf84aa8c1b08fae04ea532e01d8472ac6ca	A tape remembers whose seat it was sealed in, and no one pilot's ambushes own the evening.
c7f6ade1ccf4a4829f1b84b590104f48353f240f	The rules of the field changed while nobody was flying.
a90750c70dd354cd2543db5171da43b9b9c9b86a	The field guide went back to listing the field, and stopped explaining the furniture.
5e29b1c9486d870678b60c98aa4d85d86d657a2a	The bookkeeping of the cabinet moved a foot to the left.
b0ffdf83b11382a66e63b7df1c6dc15c2b9d7db9	The tape names every ambush that fired and who laid it, so mischief is a scored game now.
e4fa7990a06143aac01685d58fa88a17dbdc533e	The rules of the field changed while nobody was flying.
2c4f2c3641f4217205cb935ca6379235bfbfaed1	Nobody's ambushes fire at you until you have laid one of your own.
d3d788423e24e226a6fb23d04f1ce1eaa766e2fa	The bookkeeping of the cabinet moved a foot to the left.
34959e8852e8c53d5033bc75b06dfd23a2392492	Versions landed, ambushes laid and flights taped turn up as trim on your hull.
7164cd039fec3b4ecc1779b2255343beb6b996da	A rule was taken out, looked at, and put back differently.
e799c36095b195f947c8a4b6b6ff81b3df95cdf8	The bomb comes every other wave now, and the big rocks only crack.
5557764e78c863cf73220b6ab4015208b9ecba81	The rules of the field changed while nobody was flying.
7dde509152a6c943224f2b43f0b3da66a18a20d2	David taught the splash screen the difference between a warning and a trophy.
5d0b9ea028065d7a7a471fb650f325da8f06501b	The cabinet keeps score with slightly different arithmetic now.
cddc9daf771d22e19e04e835140994067f1976a5	The splash is one screen you scroll, and the cabinet finally explains itself to strangers.
7d0481cd2e787972367ed4f909aca4828c759ec8	Somebody rewrote a rule the game had been taking for granted.
